kernel32-amd64-6.1.7601.23677.dll: PE32+ executable (DLL) (console) x86_64 (Fri Feb 10 00:34:46 2017)
  Export KERNEL32.dll
    Ordinal  Hint     Entry      Name
    -------- -------- ---------- --------
    0x0066   0x0065   0x000142b0 CompareStringW
    0x0067   0x0066   0x00000f00 ConnectNamedPipe
    0x0068   0x0067   0x00041330 ConsoleMenuControl
    0x0069   0x0068   0x00076d50 ContinueDebugEvent
    0x006a   0x0069   0x00095f80 ConvertCalDateTimeToSystemTime
    0x006b   0x006a   0x00019dc0 ConvertDefaultLocale
    0x006c   0x006b   0x00007590 ConvertFiberToThread
    0x006d   0x006c   0x00046490 ConvertNLSDayOfWeekToWin32DayOfWeek
    0x006e   0x006d   0x00090150 ConvertSystemTimeToCalDateTime
    0x006f   0x006e   0x00007690 ConvertThreadToFiber
    0x0070   0x006f   0x000076a0 ConvertThreadToFiberEx
    0x0071   0x0070   0x00046f90 CopyContext
    0x0072   0x0071   0x00094a90 CopyFileA
    0x0073   0x0072   0x00094840 CopyFileExA
    0x0074   0x0073   0x00010c70 CopyFileExW
    0x0075   0x0074   0x000949c0 CopyFileTransactedA
    0x0076   0x0075   0x000948f0 CopyFileTransactedW
    0x0077   0x0076   0x00007d50 CopyFileW
    0x0078   0x0077   0x0008ee60 CopyLZFile
    0x0079   0x0078   0x0006f0d0 CreateActCtxA
    0x007a   0x0079   0x00019570 CreateActCtxW
    0x007b   0x007a   0x000604c0 CreateBoundaryDescriptorA
    0x007c   0x007b   0x0004abb0 CreateBoundaryDescriptorW
    0x007d   0x007c   0x000407f0 CreateConsoleScreenBuffer
    0x007e   0x007d   0x0004be50 CreateDirectoryA
    0x007f   0x007e   0x00089620 CreateDirectoryExA
    0x0080   0x007f   0x000886e0 CreateDirectoryExW
    0x0081   0x0080   0x00089770 CreateDirectoryTransactedA
    0x0082   0x0081   0x000896a0 CreateDirectoryTransactedW
    0x0083   0x0082   0x00009620 CreateDirectoryW
    0x0084   0x0083   0x0000f9c0 CreateEventA
    0x0085   0x0084   0x0004be40 CreateEventExA
    0x0086   0x0085   0x0004be30 CreateEventExW
    0x0087   0x0086   0x00013b30 CreateEventW
    0x0088   0x0087   0x000077c0 CreateFiber
    0x0089   0x0088   0x000077f0 CreateFiberEx
    0x008a   0x0089   0x00020f80 CreateFileA
    0x008b   0x008a   0x0000d380 CreateFileMappingA
    0x008c   0x008b   0x00064640 CreateFileMappingNumaA
    0x008d   0x008c   0x0004bdf0 CreateFileMappingNumaW
    0x008e   0x008d   0x0000e290 CreateFileMappingW
    0x008f   0x008e   0x00075010 CreateFileTransactedA
    0x0090   0x008f   0x00074e70 CreateFileTransactedW
    0x0091   0x0090   0x00010110 CreateFileW
    0x0092   0x0091   0x0005b090 CreateHardLinkA
