kernel32-x86-5.1.2600.5512.dll: PE32 executable (DLL) (32bits) (console) i386 (Mon Apr 14 08:11:24 2008)
  Export KERNEL32.dll
    Ordinal  Hint     Entry      Name
    -------- -------- ---------- --------
    0x006c   0x006b   0x0006b52e CreateTapePartition
    0x006d   0x006c   0x0000fac7 CreateThread
    0x006e   0x006d   0x0002b3ce CreateTimerQueue
    0x006f   0x006e   0x00020565 CreateTimerQueueTimer
    0x0070   0x006f   0x00064f1f CreateToolhelp32Snapshot
    0x0071   0x0070   0x00033d4a CreateVirtualBuffer
    0x0072   0x0071   0x00061ec1 CreateWaitableTimerA
    0x0073   0x0072   0x0002ef42 CreateWaitableTimerW
    0x0074   0x0073   0x00009b05 DeactivateActCtx
    0x0075   0x0074   0x0005a42b DebugActiveProcess
    0x0076   0x0075   0x0005a8b1 DebugActiveProcessStop
    0x0077   0x0076   0x00059e76 DebugBreak
    0x0078   0x0077   0x0005a47e DebugBreakProcess
    0x0079   0x0078   0x0005a4a5 DebugSetProcessKillOnExit
    0x007a   0x0079   0x0000841a DecodePointer
    0x007b   0x007a   0x00008431 DecodeSystemPointer
    0x007c   0x007b   0x0005c5cd DefineDosDeviceA
    0x007d   0x007c   0x00021306 DefineDosDeviceW
    0x007e   0x007d   0x0007e2cd DelayLoadFailureHook
    0x007f   0x007e   0x00031aad DeleteAtom
    0x0080   0x007f   0x0000844e DeleteCriticalSection
    0x0081   0x0080   0x0002f274 DeleteFiber
    0x0082   0x0081   0x000312c5 DeleteFileA
    0x0083   0x0082   0x0003134b DeleteFileW
    0x0084   0x0083   0x000631cb DeleteTimerQueue
    0x0085   0x0084   0x00063184 DeleteTimerQueueEx
    0x0086   0x0085   0x00020518 DeleteTimerQueueTimer
    0x0087   0x0086   0x0006a4be DeleteVolumeMountPointA
    0x0088   0x0087   0x00069d10 DeleteVolumeMountPointW
    0x0089   0x0088   0x00000a29 DeviceIoControl
    0x008a   0x0089   0x00010726 DisableThreadLibraryCalls
    0x008b   0x008a   0x00011b2f DisconnectNamedPipe
    0x008c   0x008b   0x00057e2b DnsHostnameToComputerNameA
    0x008d   0x008c   0x0002c2aa DnsHostnameToComputerNameW
    0x008e   0x008d   0x00031568 DosDateTimeToFileTime
    0x008f   0x008e   0x00061bd9 DosPathToSessionPathA
    0x0090   0x008f   0x0002b5df DosPathToSessionPathW
    0x0091   0x0090   0x0001c8ad DuplicateConsoleHandle
    0x0092   0x0091   0x0000d28e DuplicateHandle
    0x0093   0x0092   0x0000846d EncodePointer
    0x0094   0x0093   0x00008484 EncodeSystemPointer
    0x0095   0x0094   0x0006fd69 EndUpdateResourceA
    0x0096   0x0095   0x0006fb92 EndUpdateResourceW
    0x0097   0x0096   0x000084a1 EnterCriticalSection
    0x0098   0x0097   0x00037629 EnumCalendarInfoA
    0x0099   0x0098   0x00075b69 EnumCalendarInfoExA
    0x009a   0x0099   0x00078b9d EnumCalendarInfoExW
    0x009b   0x009a   0x00078b7a EnumCalendarInfoW
    0x009c   0x009b   0x00075baa EnumDateFormatsA
    0x009d   0x009c   0x00075bca EnumDateFormatsExA
    0x009e   0x009d   0x00078bc0 EnumDateFormatsExW
    0x009f   0x009e   0x00037bf9 EnumDateFormatsW
    0x00a0   0x009f   0x00075c08 EnumLanguageGroupLocalesA
    0x00a1   0x00a0   0x00078b23 EnumLanguageGroupLocalesW
    0x00a2   0x00a1   0x0002d3f8 EnumResourceLanguagesA
    0x00a3   0x00a2   0x0005f939 EnumResourceLanguagesW
    0x00a4   0x00a3   0x0005f531 EnumResourceNamesA
    0x00a5   0x00a4   0x00054e51 EnumResourceNamesW
    0x00a6   0x00a5   0x0005f344 EnumResourceTypesA
    0x00a7   0x00a6   0x0005f751 EnumResourceTypesW
    0x00a8   0x00a7   0x00075c47 EnumSystemCodePagesA
    0x00a9   0x00a8   0x00078b5f EnumSystemCodePagesW
    0x00aa   0x00a9   0x00078ff9 EnumSystemGeoID
    0x00ab   0x00aa   0x00075bea EnumSystemLanguageGroupsA
    0x00ac   0x00ab   0x00078b05 EnumSystemLanguageGroupsW
    0x00ad   0x00ac   0x000370f9 EnumSystemLocalesA
    0x00ae   0x00ad   0x00078b44 EnumSystemLocalesW
    0x00af   0x00ae   0x00075b8c EnumTimeFormatsA
    0x00b0   0x00af   0x00037cd6 EnumTimeFormatsW
    0x00b1   0x00b0   0x00075c29 EnumUILanguagesA
    0x00b2   0x00b1   0x00029cc4 EnumUILanguagesW
    0x00b3   0x00b2   0x00057d7f EnumerateLocalComputerNamesA
    0x00b4   0x00b3   0x00057bff EnumerateLocalComputerNamesW
    0x00b5   0x00b4   0x0006b4fb EraseTape
    0x00b6   0x00b5   0x00065b71 EscapeCommFunction
    0x00b7   0x00b6   0x0001befa ExitProcess
    0x00b8   0x00b7   0x0000b4e8 ExitThread
    0x00b9   0x00b8   0x00067a75 ExitVDM
    0x00ba   0x00b9   0x00031df1 ExpandEnvironmentStringsA
    0x00bb   0x00ba   0x0002f9e6 ExpandEnvironmentStringsW
    0x00bc   0x00bb   0x00070a47 ExpungeConsoleCommandHistoryA
    0x00bd   0x00bc   0x00070a2f ExpungeConsoleCommandHistoryW
    0x00be   0x00bd   0x0005eefc ExtendVirtualBuffer
    0x00bf   0x00be   0x00061000 FatalAppExitA
    0x00c0   0x00bf   0x00060fb2 FatalAppExitW
    0x00c1   0x00c0   0x0006104e FatalExit
    0x00c2   0x00c1   0x0002fa4d FileTimeToDosDateTime
    0x00c3   0x00c2   0x0000dcf6 FileTimeToLocalFileTime
    0x00c4   0x00c3   0x0000dc7c FileTimeToSystemTime
    0x00c5   0x00c4   0x00073464 FillConsoleOutputAttribute
    0x00c6   0x00c5   0x00073419 FillConsoleOutputCharacterA
    0x00c7   0x00c6   0x00073440 FillConsoleOutputCharacterW
    0x00c8   0x00c7   0x00030311 FindActCtxSectionGuid
    0x00c9   0x00c8   0x0006beef FindActCtxSectionStringA
    0x00ca   0x00c9   0x0002f13c FindActCtxSectionStringW
    0x00cb   0x00ca   0x000300ee FindAtomA
    0x00cc   0x00cb   0x0002ec17 FindAtomW
    0x00cd   0x00cc   0x0000e267 FindClose
    0x00ce   0x00cd   0x00034bed FindCloseChangeNotification
    0x00cf   0x00ce   0x0005c7b3 FindFirstChangeNotificationA
    0x00d0   0x00cf   0x00034007 FindFirstChangeNotificationW
    0x00d1   0x00d0   0x00012c69 FindFirstFileA
    0x00d2   0x00d1   0x0005c81a FindFirstFileExA
    0x00d3   0x00d2   0x0000df0d FindFirstFileExW
    0x00d4   0x00d3   0x0000e371 FindFirstFileW
    0x00d5   0x00d4   0x0006a639 FindFirstVolumeA
    0x00d6   0x00d5   0x0006a0f9 FindFirstVolumeMountPointA
    0x00d7   0x00d6   0x00069191 FindFirstVolumeMountPointW
    0x00d8   0x00d7   0x0002c6a7 FindFirstVolumeW
    0x00d9   0x00d8   0x0003152d FindNextChangeNotification
    0x00da   0x00d9   0x000342c9 FindNextFileA
    0x00db   0x00da   0x0000e3ca FindNextFileW
    0x00dc   0x00db   0x00069fdf FindNextVolumeA
    0x00dd   0x00dc   0x0006a229 FindNextVolumeMountPointA
    0x00de   0x00dd   0x0006943d FindNextVolumeMountPointW
    0x00df   0x00de   0x0002c393 FindNextVolumeW
    0x00e0   0x00df   0x0000b319 FindResourceA
    0x00e1   0x00e0   0x00035390 FindResourceExA
    0x00e2   0x00e1   0x0000a118 FindResourceExW
    0x00e3   0x00e2   0x0000b05e FindResourceW
    0x00e4   0x00e3   0x0002c358 FindVolumeClose
    0x00e5   0x00e4   0x00034bed FindVolumeMountPointClose
    0x00e6   0x00e5   0x00073f3c FlushConsoleInputBuffer
    0x00e7   0x00e6   0x00011ad1 FlushFileBuffers
    0x00e8   0x00e7   0x000349d4 FlushInstructionCache
    0x00e9   0x00e8   0x00034d89 FlushViewOfFile
    0x00ea   0x00e9   0x000762d1 FoldStringA
    0x00eb   0x00ea   0x00079a56 FoldStringW
    0x00ec   0x00eb   0x0002eb90 FormatMessageA
    0x00ed   0x00ec   0x00033fa7 FormatMessageW
    0x00ee   0x00ed   0x000714ad FreeConsole
    0x00ef   0x00ee   0x0001cad7 FreeEnvironmentStringsA
    0x00f0   0x00ef   0x00013f77 FreeEnvironmentStringsW
    0x00f1   0x00f0   0x0000a06e FreeLibrary
    0x00f2   0x00f1   0x0000b600 FreeLibraryAndExitThread
    0x00f3   0x00f2   0x000254aa FreeResource
    0x00f4   0x00f3   0x0005ea48 FreeUserPhysicalPages
    0x00f5   0x00f4   0x00033f81 FreeVirtualBuffer
    0x00f6   0x00f5   0x00073e41 GenerateConsoleCtrlEvent
    0x00f7   0x00f6   0x00008da5 GetACP
    0x00f8   0x00f7   0x0005b5b3 GetAtomNameA
