kernel32-x86-6.1.7601.23677.dll: PE32 executable (DLL) (32bits) (console) i386 (Fri Feb 10 00:17:35 2017)
  Export KERNEL32.dll
    Ordinal  Hint     Entry      Name
    -------- -------- ---------- --------
    0x0065   0x0063   0x00094e31 CompareStringEx
    0x0066   0x0064   0x000305f0 CompareStringOrdinal
    0x0067   0x0065   0x00013b6a CompareStringW
    0x0068   0x0066   0x0009487b ConnectNamedPipe
    0x0069   0x0067   0x000b84b3 ConsoleMenuControl
    0x006a   0x0068   0x00088aa3 ContinueDebugEvent
    0x006b   0x0069   0x000a4bfe ConvertCalDateTimeToSystemTime
    0x006c   0x006a   0x0002ce4e ConvertDefaultLocale
    0x006d   0x006b   0x00095d00 ConvertFiberToThread
    0x006e   0x006c   0x000a4c98 ConvertNLSDayOfWeekToWin32DayOfWeek
    0x006f   0x006d   0x000a525a ConvertSystemTimeToCalDateTime
    0x0070   0x006e   0x0003c061 ConvertThreadToFiber
    0x0071   0x006f   0x0003c079 ConvertThreadToFiberEx
    0x0072   0x0070   0x0009f219 CopyContext
    0x0073   0x0071   0x000358cd CopyFileA
    0x0074   0x0072   0x0008f261 CopyFileExA
    0x0075   0x0073   0x00033b7a CopyFileExW
    0x0076   0x0074   0x0008f2c9 CopyFileTransactedA
    0x0077   0x0075   0x0008f1af CopyFileTransactedW
    0x0078   0x0076   0x000382ed CopyFileW
    0x0079   0x0077   0x00087dbe CopyLZFile
    0x007a   0x0078   0x00039438 CreateActCtxA
    0x007b   0x0079   0x000191e7 CreateActCtxW
    0x007c   0x007a   0x00094ff1 CreateBoundaryDescriptorA
    0x007d   0x007b   0x0002ebf1 CreateBoundaryDescriptorW
    0x007e   0x007c   0x000b8059 CreateConsoleScreenBuffer
    0x007f   0x007d   0x0003d556 CreateDirectoryA
    0x0080   0x007e   0x00089a89 CreateDirectoryExA
    0x0081   0x007f   0x00088bd1 CreateDirectoryExW
    0x0082   0x0080   0x00089af2 CreateDirectoryTransactedA
    0x0083   0x0081   0x000899d4 CreateDirectoryTransactedW
    0x0084   0x0082   0x000141f9 CreateDirectoryW
    0x0085   0x0083   0x0001322c CreateEventA
    0x0086   0x0084   0x00030537 CreateEventExA
    0x0087   0x0085   0x0009488b CreateEventExW
    0x0088   0x0086   0x0001180e CreateEventW
    0x0089   0x0087   0x0003be06 CreateFiber
    0x008a   0x0088   0x0003be26 CreateFiberEx
    0x008b   0x0089   0x00015366 CreateFileA
    0x008c   0x008a   0x000154a6 CreateFileMappingA
    0x008d   0x008b   0x0008c5a4 CreateFileMappingNumaA
    0x008e   0x008c   0x0009489b CreateFileMappingNumaW
    0x008f   0x008d   0x000118d9 CreateFileMappingW
    0x0090   0x008e   0x0008efc1 CreateFileTransactedA
    0x0091   0x008f   0x0008e3fd CreateFileTransactedW
    0x0092   0x0090   0x00013efc CreateFileW
    0x0093   0x0091   0x0009e029 CreateHardLinkA
    0x0094   0x0092   0x0009e098 CreateHardLinkTransactedA
    0x0095   0x0093   0x0009df81 CreateHardLinkTransactedW
    0x0096   0x0094   0x0009dd98 CreateHardLinkW
    0x0097   0x0095   0x0002eeda CreateIoCompletionPort
    0x0098   0x0096   0x0009dcfb CreateJobObjectA
    0x0099   0x0097   0x0003c82a CreateJobObjectW
    0x009a   0x0098   0x0009dccd CreateJobSet
    0x009b   0x0099   0x0009007c CreateMailslotA
    0x009c   0x009a   0x0008ff70 CreateMailslotW
    0x009d   0x009b   0x0001d2ff CreateMemoryResourceNotification
    0x009e   0x009c   0x00014c0b CreateMutexA
    0x009f   0x009d   0x000948ab CreateMutexExA
    0x00a0   0x009e   0x000948bb CreateMutexExW
    0x00a1   0x009f   0x000141ec CreateMutexW
    0x00a2   0x00a0   0x00091e17 CreateNamedPipeA
    0x00a3   0x00a1   0x000948cb CreateNamedPipeW
    0x00a4   0x00a2   0x000948db CreatePipe
    0x00a5   0x00a3   0x0009506d CreatePrivateNamespaceA
    0x00a6   0x00a4   0x00030a75 CreatePrivateNamespaceW
    0x00a7   0x00a5   0x00011072 CreateProcessA
    0x00a8   0x00a6   0x0003c9f5 CreateProcessAsUserW
    0x00a9   0x00a7   0x0002a4a7 CreateProcessInternalA
    0x00aa   0x00a8   0x00023bbb CreateProcessInternalW
    0x00ab   0x00a9   0x0001103d CreateProcessW
    0x00ac   0x00aa   0x000948eb CreateRemoteThread
    0x00ad   0x00ab   0x000ca24b CreateRemoteThreadEx
    0x00ae   0x00ac   0x0003d1a2 CreateSemaphoreA
    0x00af   0x00ad   0x000304b7 CreateSemaphoreExA
    0x00b0   0x00ae   0x00094915 CreateSemaphoreExW
    0x00b1   0x00af   0x0002ca4a CreateSemaphoreW
    0x00b2   0x00b0   0x0009e12e CreateSocketHandle
